web-scraper-order,web-scraper-start-url,bintang,ulasan,lebel
1626443234-241,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-405,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Sudah bisa download tapi belum coba digunakan, kalau aplikasinya ok ditambah lagi bintangnya.",POSITIF
1626443234-299,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-375,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"sekarang udh bisa diinstal, tapi bukunya tdk bisa di unduh. padahal udh bayar langganan full premium package.. masih di android S7.. ada aja masalahnya..",NEGATIF
1626443234-404,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Akun premium kirain bisa baca semua tanpa terkecuali. Eh ternyata hanya penerbit Gramedia aja. Kenapa coba gak dijelaskan kalau maksud ""SEMUA"" itu ternyata gak semuanya. Pertama dan terakhir deh beli disini. Mending nunggu promo aja, lagipula lebih baik buku fisik drpada e-book. Udh habis kuota, mem...Ulasan Lengkap",NEGATIF
1626443234-366,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Halo, Gramedia. Ini kenapa ya saya nggak bisa akses GD? Selalu ada pemberitahuan pembatasan akses aplikasi. Apakah ini memang dari aplikasinya atau hp saya yang bermasalah, ya? Terima kasih",NETRAL
1626443234-232,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-276,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-407,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,bagus sih.. gramedia versi digital.. tp beli bukunya harus via bank/atm gitu.. coba ada alternatif bayar di indomaret/alfamart kaya di toko online lazada.. pasti banyak pelajar dengan mudah beli buku online.. kan pelajar mah belom punya kartu atm/bank atuh...,NEGATIF
1626443234-303,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-442,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Ternyata hanya bisa dibaca di apps Gramedia digital saja. Percuma jika tidak bisa diunduh file pdf nya. Tidak bisa dicetak, sehingga tidak bisa dijadikankan referensi penelitian dalam bentuk fisik. Padahal sudah bayar dengan go pay. Harganya pun jauh lebih mahal dibanding google play buku",NEGATIF
1626443234-388,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Aplikasi tidak bisa dibuka, keluar terus",NEGATIF
1626443234-263,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-249,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-251,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-314,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-370,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Sebel sih karena pas qt langganan qt masih tetep gak bisa download buat save, kek sia2 aja gitu... Hanya bisa baca doang tapi gak bisa di save/unduh. Harganya sama pula kek buku cetaknya.",NEGATIF
1626443234-352,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Kenapa layarnya putih semua ya tiap dibuka. Padahal urah updste,NEGATIF
1626443234-353,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,Harga murah namun dengan fitur yang sangat minim,POSITIF
1626443234-283,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-423,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Melalui aplikasi ini, Gramedia terlihat sangat tidak user friendly bahkan menjurus ke sengaja mempersulit konsumen digital. Saya sebagai pembeli premium tidak ditunjukkan bacaan mana yang harus dibeli satuan dan bacaan mana yang sudah dibeli secara paket. Panduan itu penting supaya konsumen tau nila...Ulasan Lengkap",NEGATIF
1626443234-258,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-368,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Makin error aja aplikasinya. 1.Pembayaran susah kurang banyak cara bayar 2. Sdg masa paket tiba2 tdk bisa unduh dan baca, begitu reinstal semua koleksi lenyap. 3. Kembalikan cara pembayaran via gopay dong",NEGATIF
1626443234-392,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Keren. Tapi saran aja klo bisa ditamabhin fitur lain kayak higelight tulisan yg penting, underline atau fitur pencahayaan yang lebih beragam kayak dark mode biarpengalaman baca kita jadi lebih nyaman.",NEGATIF
1626443234-427,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Halo, kak. Beberapa malam kemarin sudah berhasil bayar langganan full premium package, tapi kok semua buku masih terkunci ya... Mohon pencerahannya yaa. Sudah email ke cs, tapi belum ada tanggapan. Terima kasih",NETRAL
1626443234-291,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-211,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-247,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-412,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,,"Saya kecewa deh, saya beli e-book 78resep mpasi katanya berlaku 1bulan. Baru 3hari sudah gk bisa dibuka lagi, mana e-book nya belum semua dibaca. Lain kali kasih tau kalau memang programnya gk bisa sampai 1 bulan biar kita gk jadi beli. Dan bilang mau diproses ternyata gk bisa!!",NEGATIF
1626443234-318,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
1626443234-280,https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true,null,,NETRAL
