userName,score,at,content
Viona Ito,5,2022-01-19 04:04:14,nyaman banget
Heri Nugraha Saputra,1,2022-01-19 04:04:05,xim drivernya minta uang sesuai harga tp Ndak nganter ke pengantaran JD pick up selesai
Shendy Koko,5,2022-01-19 03:59:48,sangat baik
Djufri Lolo,5,2022-01-19 03:56:43,mantapp sampai ditujuan dgn selamat n supir yg ramah
Diana Nana,5,2022-01-19 03:54:43,"mantap tarifnya, mgkn krna baru.."
Rosiana Dewi,5,2022-01-19 03:53:17,maturnuwun nganter dg slamat
Mohammed Firdausi,5,2022-01-19 03:53:00,murah meriah 😘
onchydesign,5,2022-01-19 03:51:42,bagus
Almadaita Aura Ghaida Suherman,1,2022-01-19 03:46:40,Tukang Drive nya genit bro
Dede Nafisa,4,2022-01-19 03:38:54,"aku kasih 4 dulu deh,soalnya titiknya masih kurang,gofood nya juga belum sempurna,Maxim perbaiki aplikasi,aku akan perbaiki bintang.. terimakasih.."
Merdeka Akbar,4,2022-01-19 03:38:44,Ramah dan Nyaman
Susi widia astuti,5,2022-01-19 03:37:41,ok
Moyang Bandung,5,2022-01-19 03:26:40,"mukmer n cepat, bravo"
Freddy Marupa,5,2022-01-19 03:25:09,u the best deh
Indah Okta,5,2022-01-19 03:20:06,ramah bagus orang nya masyaallah
Don Don,5,2022-01-19 03:16:35,Maxim aplikasi yang bagus aku kasih bintang 5 aja deh👍
Jenny Diana,5,2022-01-19 03:10:03,oke murah
Razali Zali,1,2022-01-19 02:55:25,Maxim kurang memuaskan pesan tapi g' tepat waktu tolong di tinjak lanjut kan
Lia Nurwakhidah,3,2022-01-19 02:53:44,baik
Rizqi Ataya,5,2022-01-19 02:50:00,ok banget
Wahyu guppy,5,2022-01-19 02:49:33,BAGUS
SRI WAHYUNI,5,2022-01-19 02:49:32,Murah dan terjakau
Sobari Barry,5,2022-01-19 02:47:34,maxim mantaap
Dadang Herlambang,5,2022-01-19 02:44:26,ok
erick firnando,5,2022-01-19 02:44:00,ramah dan sopan
Choirul Ja,5,2022-01-19 02:39:20,mantap
Nurhasanah Nurhasanah,5,2022-01-19 02:39:05,bagus
Supangat Pangat,5,2022-01-19 02:38:33,ok
cindi nur azizah,5,2022-01-19 02:38:12,sangat tepat waktu
Cicha Enjelina,5,2022-01-19 02:30:35,Abng maxim nya sangat ramah dan baik ..... perjalanan sangat nyaman..... terimakasih...
Hana Siska Wati,5,2022-01-19 02:29:27,tepat waktuu...mksihhh
Lian Mursyida,5,2022-01-19 02:23:23,yang selalu bantu
Mama Maza,5,2022-01-19 02:21:55,layanan bagus sekali
Dwi Fitrian,5,2022-01-19 02:10:16,pelayanan yang baik
Saya ikha,3,2022-01-19 01:38:43,peta nya masih belum terlalu lengkap🙏
setya aja,5,2022-01-19 01:35:52,mantappp
MoTauAj ApaMoTau Banget,1,2022-01-19 01:34:47,"Aplikasi taiiiii, di tutup saja ini apk, gak Jlz, merugikan orang, bangsa & negara, hati2 dgn apk ini"
Magritha Todar,5,2022-01-19 01:27:32,bagus
shadow tik tok,5,2022-01-19 01:23:34,ok
Wulan Waode,5,2022-01-19 01:10:51,pelayanan baik.terima kasih
Andi Farras,1,2022-01-19 01:08:27,Apk merugikan orang lain ada promo nya malah minta nambah gak jelas
Yan Yan,5,2022-01-19 01:08:21,makasih maxsim tnks
20-078 Ester Natalia Siregar,5,2022-01-19 00:58:54,driver Chandra mantap
TUTORIAL DEWI,5,2022-01-19 00:58:01,terima kasih yah
Hermanto Simangunsong,5,2022-01-19 00:46:08,ok
endah wandari channel,5,2022-01-19 00:38:20,semoga berkah dan amanah y
Agus Tony,5,2022-01-19 00:35:40,mantap drivernya baik terima kasih semoga sehat selalu
Eko Prasetyo,5,2022-01-19 00:19:32,terimakasih
24. Nisa unnajiah,5,2022-01-19 00:18:06,sangat puas
Rilo Pambudi,1,2022-01-19 00:09:56,"Tolong perbaiki aplikasi anda, driver anda tidak punya attitude yang baik, kasar, anda mengemban aplikasi tapi tidak ada tanggapan sama sekali dari pihak anda mengenai feedback mengenai pelayanan kalian. Mohon dibenahi jangan cuman mikir cuan di otak kalian."
Rita Syakira,5,2022-01-19 00:01:32,ok dtgny cpt
Ajeng Aulia Ramadhani,5,2022-01-18 23:42:02,terimakasih banyak Pak
Asrul Labora,5,2022-01-18 23:39:15,keren👍
TEMENGGUNG CENTAI,5,2022-01-18 23:22:37,JANGAN DIRAGUKAN LAGI. POKOKNYA MANTAP. UDAH CUKUP BINTANG YANG BERBICARA.
Putry donggi,1,2022-01-18 22:26:50,Susah cri pengemudi saat cuaca hujan
21 114 Sukma abdil mahbub,5,2022-01-18 22:16:25,mantep
Putra Isham,5,2022-01-18 19:41:21,good
LYRIQUE PROJECT,5,2022-01-18 19:26:35,pengemudi sangat ramah
evan predator,5,2022-01-18 18:41:17,sangaaaatt baik dan jujur terpercaya respon pelayanan baik maksi
Ihsan Salele,5,2022-01-18 18:25:49,Mantap
Rully Egi,5,2022-01-18 18:20:48,good job
suriyat nurjana,5,2022-01-18 17:50:18,👌👌👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
Muhammad Zainul Ma'arif Firdaus,5,2022-01-18 17:37:31,Harga yang sangat terjangkau bagi konsumen ketimbang Ojol sebelah. Next masukin juga fitur dompet online dan munculin menu yang lebih banyak seperti food nya jadi bisa pesen makanan lebih gampang
Israh Israh,1,2022-01-18 17:22:25,mantap
Mahmud Tue,5,2022-01-18 17:18:41,mksh pak. so antar sampe rumah
Tarko Koko,4,2022-01-18 17:13:29,Layanan bagus...mkcih
