web-scraper-order,web-scraper-start-url,ulasan
"1626441946-104","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya ingin bertanya baru saja saya berlangganan , namun ketika mau liat"" Koleksi buku selalu membal ke utama itu kenapa ya"
"1626441946-128","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Makin error aja aplikasinya. 1.Pembayaran susah kurang banyak cara bayar 2. Sdg masa paket tiba2 tdk bisa unduh dan baca, begitu reinstal semua koleksi lenyap. 3. Kembalikan cara pembayaran via gopay dong"
"1626441946-170","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Alangkah lebih baik kalau bisa fitur mode gelap (dark mode) soalnya mata perih kalau lama² lihat sinar putih."
"1626441946-152","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Keren. Tapi saran aja klo bisa ditamabhin fitur lain kayak higelight tulisan yg penting, underline atau fitur pencahayaan yang lebih beragam kayak dark mode biarpengalaman baca kita jadi lebih nyaman."
"1626441946-120","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","bagus bgt, tapi mau saran supaya bisa dikasih stabilo atau fitur coretan, atau tambahkan add note supaya lebih hafal lagi."
"1626441946-129","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Tampilan halaman utk buku yg baru update sangat tidak nyaman untuk membaca lama. Beda dgn buku buku yg di telah lama di update. Tolong kembalikan ke versi sebelumnya"
"1626441946-205","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","jenis aplikasi yg tidak jelas... saya hanya ingin beli satu buku, pada ingin bayar atau pilih lanjut, seketika itu pula ber_ubah menjadi paket premium,, dan ketika ingin d transfer bermasalah. tolong d perbaiki ya, seperti applikasi2 online yg lainnya..banyak cara untuk memperbaiki, jangan sampai ke...Ulasan Lengkap"
"1626441946-197","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Langganan Pos Kota 1 Bln 59 Ribu. Dikirim 1 Hari Aja. Kata Nya 1 Bulan. Mahal Banget 1 Koran Pos Kota 59 Ribu. Tolong Penjelaaan Nya Ini Bagaimana ??? Edisi Tgl 9 sampai 12 May (4 Hari) sudah tidak Dikirim Ebook Poskota. Judul Nya Jadi 1 Edisi Bayar 59.000 Padahal Padahal Ditukang Koran 1 Edisi Hany...Ulasan Lengkap"
"1626441946-145","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sdh di bayar tapi TDK bs di unduh , percuma bayar paket bulanan"
"1626441946-113","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Harga murah namun dengan fitur yang sangat minim"
"1626441946-112","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kenapa layarnya putih semua ya tiap dibuka. Padahal urah updste"
"1626441946-107","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Bagaimana caranya ubah ke versi *.pdf kalo baca buku? Saya tidak terbiasa baca yang versi reflow text"
"1626441946-103","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Semuanya sudah bagus kak, hanya saja ada bug saat menghapus ebook yang di download dan bagusnya lagi ditambah kan fitur yang bisa kita cek untuk mengetahui ebook ebook terbaru di gramedia digital"
"1626441946-91","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kalau ada bintang 100 juta, saya akan kasih untuk aplikasi ini. Jujur biasanya saya malas mau kasih rating2 dan bercuap2 di kolom komentar seperti ini (meski aplikasi buruk sekalipun), tapi untuk kali inu saya sangat mengapresiasi gramedia untuk tetap terus mengembangkan aplikasi ini agar lebih semp...Ulasan Lengkap"
"1626441946-157","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya berlangganan Gramedia digital tiap bulan. tolong update aplikasi ini. berikan fitur memperbesar dan mengecilkan font. saya baca dari hp. minus mata banyak, alangkah nyaman jika font bisa diperbesar tanpa 200m in."
"1626441946-196","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya sudah bayar yang akun premium 89.000 melalui gogle play tapi akun saya tetap belum premium dan tidak bisa baca buku dan majalan yg ada di premium package, ini pengalaman saya yang kedua, dulu sudah pernah juga. GIMANA NI GRAMEDIA, BENERIN DONG APLIKASINYA"
"1626441946-92","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Terima kasih.. Jangan naikan harganya jangan ubah ketentuannya.. Di sini saya bisa memuaskan hasrat saya untuk baca buku dengan harga murah.. Terimakasih banyak"
"1626441946-119","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","sangat membantu"
